id,french,pronunciation,english,part_of_speech,lemma_id,form_type,tense,mood,person,grammatical_number,cefr_level,category,gender,variant
bonjour,bonjour,bon-zhoor,hello,interjection,,,,,,,A1,Social,,shared
au_revoir,au revoir,oh-ruh-vwar,goodbye,interjection,,,,,,,A1,Social,,shared
merci,merci,mehr-see,thank you,interjection,,,,,,,A1,Social,,shared
sil_vous_plait,s'il vous plaît,seel-voo-pleh,please,expression,,,,,,,A1,Social,,shared
oui,oui,wee,yes,adverb,,,,,,,A1,Social,,shared
ouais,ouais,weh,yeah,adverb,,,,,,,A1,Social,,shared
non,non,nohn,no,adverb,,,,,,,A1,Social,,shared
chat,chat,shah,cat,noun,,,,,,,A1,Animals,Masculine,shared
chat_pl,chats,shah,cats,noun,chat,plural,,,,plural,A1,Animals,Masculine,shared
chien,chien,shee-ehn,dog,noun,,,,,,,A1,Animals,Masculine,shared
chien_pl,chiens,shee-ehn,dogs,noun,chien,plural,,,,plural,A1,Animals,Masculine,shared
maison,maison,may-zohn,house,noun,,,,,,,A1,Home,Feminine,shared
maison_pl,maisons,may-zohn,houses,noun,maison,plural,,,,plural,A1,Home,Feminine,shared
eau,eau,oh,water,noun,,,,,,,A1,Food & Drink,Feminine,shared
eau_pl,eaux,oh,waters,noun,eau,plural,,,,plural,A1,Food & Drink,Feminine,shared
manger,manger,mahn-zhay,to eat,verb,manger,infinitive,,,,,A1,Food & Drink,,shared
manger_je,mange,mahnzh,I eat,verb,manger,conjugated,present,indicative,first,singular,A1,Food & Drink,,shared
manger_tu,manges,mahnzh,you eat,verb,manger,conjugated,present,indicative,second,singular,A1,Food & Drink,,shared
manger_il,mange,mahnzh,eats,verb,manger,conjugated,present,indicative,third,singular,A1,Food & Drink,,shared
manger_nous,mangeons,mahn-zhohn,we eat,verb,manger,conjugated,present,indicative,first,plural,A1,Food & Drink,,shared
manger_vous,mangez,mahn-zhay,you eat (formal/plural),verb,manger,conjugated,present,indicative,second,plural,A1,Food & Drink,,shared
manger_ils,mangent,mahnzh,they eat,verb,manger,conjugated,present,indicative,third,plural,A1,Food & Drink,,shared
boire,boire,bwar,to drink,verb,boire,infinitive,,,,,A1,Food & Drink,,shared
boire_je,bois,bwah,drink,verb,boire,conjugated,present,indicative,first,singular,A1,Food & Drink,,shared
boire_il,boit,bwah,drinks,verb,boire,conjugated,present,indicative,third,singular,A1,Food & Drink,,shared
boire_nous,buvons,bew-vohn,we drink,verb,boire,conjugated,present,indicative,first,plural,A1,Food & Drink,,shared
boire_vous,buvez,bew-vay,you drink (formal/plural),verb,boire,conjugated,present,indicative,second,plural,A1,Food & Drink,,shared
boire_ils,boivent,bwav,they drink,verb,boire,conjugated,present,indicative,third,plural,A1,Food & Drink,,shared
rouge,rouge,roozh,red,adjective,,,,,,,A1,Colors,,shared
rouge_f,rouge,roozh,red (Feminine),adjective,rouge,inflected,,,,singular,A1,Colors,Feminine,shared
rouge_m_pl,rouges,roozh,red (Masculine plural),adjective,rouge,inflected,,,,plural,A1,Colors,Masculine,shared
rouge_f_pl,rouges,roozh,red (Feminine plural),adjective,rouge,inflected,,,,plural,A1,Colors,Feminine,shared
bleu,bleu,bluh,blue,adjective,,,,,,,A1,Colors,,shared
bleu_f,bleue,bluh,blue (Feminine),adjective,bleu,inflected,,,,singular,A1,Colors,Feminine,shared
bleu_m_pl,bleus,bluh,blue (Masculine plural),adjective,bleu,inflected,,,,plural,A1,Colors,Masculine,shared
bleu_f_pl,bleues,bluh,blue (Feminine plural),adjective,bleu,inflected,,,,plural,A1,Colors,Feminine,shared
grand,grand,grahn,big / tall / large,adjective,,,,,,,A1,Descriptions,,shared
grand_f,grande,grahnd,big / tall / large (Feminine),adjective,grand,inflected,,,,singular,A1,Descriptions,Feminine,shared
grand_m_pl,grands,grahn,big / tall / large (Masculine plural),adjective,grand,inflected,,,,plural,A1,Descriptions,Masculine,shared
grand_f_pl,grandes,grahnd,big / tall / large (Feminine plural),adjective,grand,inflected,,,,plural,A1,Descriptions,Feminine,shared
