id,french,pronunciation,english,part_of_speech,lemma_id,form_type,tense,mood,person,grammatical_number,cefr_level,category,gender,variant
subsequemment,subséquemment,sub-say-kah-mahn,subsequently,adverb,,,,,,,C2,Connectors,,shared
nuancer,nuancer,new-ahn-say,to qualify / to nuance,verb,nuancer,infinitive,,,,,C2,Academic,,shared
maganer,maganer,ma-ga-nay,to wear out / beat up,verb,maganer,infinitive,,,,,C2,Descriptions,,quebecois
heille,heille,hay-yuh,hey / yo,interjection,,,,,,,C2,Quebec Expressions,,quebecois
pis,pis,pee,and / then,conjunction,,,,,,,C2,Connectors,,quebecois
partout,partout,par-too,everywhere,adverb,,,,,,,C2,Places,,shared
un_vrai_maniaque,un vrai maniaque,uhn vray mahn-yak,a real maniac,expression,,,,,,,C2,People,,quebecois
prof,prof,prof,teacher,noun,,,,,,,C2,Education,Masculine,shared
stage,stage,stahj,internship / training placement,noun,,,,,,,C2,Work,Masculine,shared
linguistique,linguistique,leen-gwee-steek,linguistics,noun,,,,,,,C2,Academic,Feminine,shared
se_servir_de,se servir de,suh sehr-veer duh,to use,verb,se_servir_de,infinitive,,,,,C2,Communication,,shared
outil,outil,oo-tee,tool,noun,,,,,,,C2,Work,Masculine,shared
gratuit,gratuit,grah-twee,free,adjective,,,,,,,C2,Commerce,,shared
extrait,extrait,ex-tray,excerpt / clip,noun,,,,,,,C2,Media,Masculine,shared
entrevue,entrevue,ahn-truh-vyoo,interview,noun,,,,,,,C2,Media,Feminine,quebecois
bijou,bijou,bee-zhoo,gem / treasure,noun,,,,,,,C2,Descriptions,Masculine,shared
tomber_sur,tomber sur,tohm-bay sur,to stumble across,verb,tomber_sur,infinitive,,,,,C2,Communication,,shared
par_hasard,par hasard,par ah-zar,by chance,expression,,,,,,,C2,Connectors,,shared
recherche,recherche,ruh-shersh,research,noun,,,,,,,C2,Academic,Feminine,shared
reunir,réunir,ray-oo-neer,to gather together,verb,reunir,infinitive,,,,,C2,Communication,,shared
spontane,spontané(e),spohn-tah-nay,spontaneous,adjective,,,,,,,C2,Descriptions,,shared
je_vous_jure,je vous jure,zhuh voo zhoor,I swear to you,expression,,,,,,,C2,Social,,shared
fait_que,fait que,fak,so / therefore,expression,,,,,,,C2,Connectors,,quebecois
venez_vous_en,venez-vous-en,vuh-nay voo-zahn,come along,expression,,,,,,,C2,Social,,quebecois
trait,trait,tray,trait / feature,noun,,,,,,,C2,Descriptions,Masculine,shared
contente,contente,kohn-tahnt,happy / glad,adjective,,,,,,,C2,Emotions,Feminine,shared
authentique,authentique,oh-tahn-teek,authentic,adjective,,,,,,,C2,Descriptions,,shared
reproduire,reproduire,ruh-pro-dweer,reproduce,verb,reproduire,infinitive,,,,,C2,Academic,,shared
caricature,caricature,kah-ree-kah-toor,caricature,noun,,,,,,,C2,Media,Feminine,shared
ecoutez_comme_il_faut,écoutez comme il faut,ay-kootay kohm eel fo,listen carefully / properly,expression,,,,,,,C2,Communication,,shared
tout_le_temps,tout le temps,toot luh tahn,all the time,expression,,,,,,,C2,Connectors,,shared
mettons,mettons,meh-tohn,let's say / for example,interjection,,,,,,,C2,Quebec Expressions,,quebecois
